annee,pays_organisateur,pays_vainqueur
1930,Uruguay,Uruguay
1934,Italie,Italie
1938,France,Italie
1950,Bresil,Uruguay
1954,Suisse,Allemagne
1958,Suede,Bresil
1962,Chili,Bresil
1966,Angleterre,Angleterre
1970,Mexique,Bresil
1974,Allemagne,Allemagne
1978,Argentine,Argentine
1982,Espagne,Italie
1986,Mexique,Argentine
1990,Italie,Allemagne
1994,Etats-Unis,Bresil
1998,France,France
2002,Coree du Sud - Japon,Bresil
2006,Allemagne,Italie
2010,Afrique du Sud,Espagne
2014,Bresil,Allemagne
2018,Russie,France
