noms_pays,nom_joueur,poste,taille,poids,nb_sel
Allemagne,Thomas Müller,MIL,1.86m,74kg,94 sel.
Allemagne,Mesut Özil,MIL,1.82m,70kg,92 sel.
Allemagne,Toni Kroos,MIL,1.82m,77kg,86 sel.
Allemagne,Manuel Neuer,GAR,1.93m,90kg,79 sel.
Allemagne,Mario Gomez,ATT,1.89m,88kg,78 sel.
Allemagne,Sami Khedira,MIL,1.89m,81kg,77 sel.
Allemagne,Jerome Boateng,DEF,1.92m,90kg,73 sel.
Allemagne,Mats Hummels,DEF,1.91m,88kg,66 sel.
Allemagne,Julian Draxler,MIL,1.87m,72kg,46 sel.
Allemagne,Jonas Hector,DEF,1.85m,73kg,40 sel.
Allemagne,Marco Reus,MIL,1.80m,70kg,34 sel.
Allemagne,Joshua Kimmich,DEF,1.76m,70kg,32 sel.
Allemagne,Ilkay Gündogan,MIL,1.80m,78kg,27 sel.
Allemagne,Sebastian Rudy,MIL,1.79m,74kg,26 sel.
Allemagne,Antonio Rüdiger,DEF,1.91m,85kg,25 sel.
Allemagne,Marc-André Ter Stegen,GAR,1.89m,85kg,20 sel.
Allemagne,Julian Brandt,MIL,1.85m,82kg,19 sel.
Allemagne,Matthias Ginter,MIL,1.89m,82kg,18 sel.
Allemagne,Timo Werner,ATT,1.80m,75kg,17 sel.
Allemagne,Leon Goretzka,MIL,1.89m,79kg,16 sel.
Allemagne,Niklas Süle,DEF,1.94m,90kg,12 sel.
Allemagne,Marvin Plattenhardt,DEF,1.81m,76kg,7 sel.
Allemagne,Kevin Trapp,GAR,1.89m,83kg,3 sel.
Angleterre,Gary Cahill,DEF,1.87m,78kg,61 sel.
Angleterre,Jordan Henderson,MIL,1.82m,67kg,42 sel.
Angleterre,Raheem Sterling,MIL,1.70m,63kg,41 sel.
Angleterre,Danny Welbeck,ATT,1.85m,73kg,40 sel.
Angleterre,Kyle Walker,DEF,1.77m,73kg,38 sel.
Angleterre,Ashley Young,MIL,1.75m,63kg,37 sel.
Angleterre,John Stones,DEF,1.87m,69kg,30 sel.
Angleterre,Eric Dier,DEF,1.88m,63kg,29 sel.
Angleterre,Dele Alli,MIL,1.88m,73kg,27 sel.
Angleterre,Harry Kane,ATT,1.88m,85kg,27 sel.
Angleterre,Phil Jones,DEF,1.80m,72kg,26 sel.
Angleterre,Jamie Vardy,ATT,1.78m,76kg,25 sel.
Angleterre,Marcus Rashford,ATT,1.78m,70kg,22 sel.
Angleterre,Daniel Rose,MIL,1.73m,75kg,21 sel.
Angleterre,Jesse Lingard,MIL,1.68m,58kg,15 sel.
Angleterre,Fabian Delph,MIL,1.74m,60kg,13 sel.
Angleterre,Kieran Trippier,DEF,1.78m,71kg,10 sel.
Angleterre,Harry Maguire,DEF,1.88m,79kg,9 sel.
Angleterre,Jack Butland,GAR,1.92m,94kg,8 sel.
Angleterre,Jordan Pickford,GAR,1.85m,77kg,7 sel.
Angleterre,Ruben Loftus-Cheek,MIL,1.93m,83kg,7 sel.
Angleterre,Trent Alexander-Arnold,MIL,1.80m,75kg,2 sel.
Angleterre,Nick Pope,GAR,1.90m,75kg,1 sel.
Arabie Saoudite,Osama Hawsawi,DEF,1.87m,77kg,138 sel.
Arabie Saoudite,Taisir Al-Jassim,MIL,1.69m,64kg,134 sel.
Arabie Saoudite,Yehya Sulaiman Al-Shehri,MIL,1.64m,60kg,59 sel.
Arabie Saoudite,Fahad Al-Muwallad,ATT,1.67m,59kg,48 sel.
Arabie Saoudite,Salman Mohammed Al-Faraj,MIL,1.75m,69kg,46 sel.
Arabie Saoudite,Omar Hawsawi,DEF,1.84m,74kg,43 sel.
Arabie Saoudite,Mohammad Al-Sahlawi,ATT,1.77m,72kg,42 sel.
Arabie Saoudite,Mansour Al-Harbi,DEF,1.70m,65kg,40 sel.
Arabie Saoudite,Yasir Gharsan Al-Shahrani,DEF,1.71m,62kg,40 sel.
Arabie Saoudite,Abdulmalek Al-Khaibri,MIL,1.75m,72kg,36 sel.
Arabie Saoudite,Salem Mohammed Al-Dawsari,MIL,1.71m,72kg,34 sel.
Arabie Saoudite,Yasser Al-Mosailem,GAR,1.84m,82kg,33 sel.
Arabie Saoudite,Housain Al-Mogahwi,MIL,1.73m,64kg,20 sel.
Arabie Saoudite,Abdullah Otayf,MIL,1.77m,68kg,19 sel.
Arabie Saoudite,Muhannad Assiri,ATT,1.78m,69kg,19 sel.
Arabie Saoudite,Motaz Hawsawi,DEF,1.79m,77kg,18 sel.
Arabie Saoudite,Mohammed Al-Breik,DEF,1.73m,61kg,14 sel.
Arabie Saoudite,Abdullah Al-Mayouf,GAR,1.87m,83kg,12 sel.
Arabie Saoudite,Hattan Bahebri,MIL,1.70m,63kg,8 sel.
Arabie Saoudite,Mohammed Al-Owais,GAR,1.85m,70kg,7 sel.
Arabie Saoudite,Mohamed Kanno,MIL,1.91m,71kg,7 sel.
Arabie Saoudite,Ali Al-Bulaihi,DEF,1.84m,80kg,5 sel.
Arabie Saoudite,Abdullah Al-Khaibari,MIL,1.75m,66kg,5 sel.
Argentine,Javier Mascherano,MIL,1.73m,74kg,147 sel.
Argentine,Lionel Messi,ATT,1.69m,67kg,128 sel.
Argentine,Angel Di Maria,ATT,1.78m,75kg,97 sel.
Argentine,Sergio Agüero,ATT,1.72m,74kg,89 sel.
Argentine,Gonzalo Higuain,ATT,1.84m,75kg,75 sel.
Argentine,Ever Banega,MIL,1.75m,73kg,65 sel.
Argentine,Marcos Rojo,DEF,1.89m,82kg,59 sel.
Argentine,Nicolas Otamendi,DEF,1.81m,80kg,58 sel.
Argentine,Lucas Biglia,MIL,1.69m,63kg,58 sel.
Argentine,Enzo Perez,MIL,1.77m,71kg,26 sel.
Argentine,Gabriel Mercado,DEF,1.80m,71kg,22 sel.
Argentine,Paulo Dybala,ATT,1.80m,72kg,13 sel.
Argentine,Eduardo Salvio,MIL,1.71m,76kg,11 sel.
Argentine,Marcos Acuna,DEF,1.72m,72kg,10 sel.
Argentine,Federico Fazio,DEF,1.95m,85kg,10 sel.
Argentine,Cristian Pavon,MIL,1.67m,65kg,9 sel.
Argentine,Nicolas Tagliafico,DEF,1.72m,65kg,8 sel.
Argentine,Nahuel Guzman,GAR,1.91m,86kg,6 sel.
Argentine,Maximiliano Meza,MIL,1.80m,76kg,6 sel.
Argentine,Wilfredo Caballero,GAR,1.86m,80kg,5 sel.
Argentine,Cristian Ansaldi,DEF,1.79m,73kg,5 sel.
Argentine,Giovani Lo Celso,MIL,1.77m,70kg,5 sel.
Argentine,Franco Armani,GAR,1.89m,85kg,2 sel.
Australie,Tim Cahill,MIL,1.78m,68kg,107 sel.
