annee,phase,nom_pays1,score1,score2,nom_pays2
2010,Groupe A,Afrique Du Sud,1,1,Mexique
2010,Groupe A,Uruguay,0,0,France
2010,Groupe B,Coree Du Sud,2,0,Grece
2010,Groupe B,Argentine,1,0,Nigeria
2010,Groupe C,Angleterre,1,1,Etats-unis
2010,Groupe C,Algerie,0,1,Slovenie
2010,Groupe D,Serbie,0,1,Ghana
2010,Groupe D,Allemagne,4,0,Australie
2010,Groupe E,Pays-bas,2,0,Danemark
2010,Groupe E,Japon,1,0,Cameroun
2010,Groupe F,Italie,1,1,Paraguay
2010,Groupe F,Nouvelle-zelande,1,1,Slovaquie
2010,Groupe G,CÔte D'ivoire,0,0,Portugal
2010,Groupe G,Bresil,2,1,Coree Du Nord
2010,Groupe H,Honduras,0,1,Chili
2010,Groupe H,Espagne,0,1,Suisse
2010,Groupe A,Afrique Du Sud,0,3,Uruguay
2010,Groupe B,Argentine,4,1,Coree Du Sud
2010,Groupe B,Grece,2,1,Nigeria
2010,Groupe A,France,0,2,Mexique
2010,Groupe D,Allemagne,0,1,Serbie
2010,Groupe C,Slovenie,2,2,Etats-unis
2010,Groupe C,Angleterre,0,0,Algerie
2010,Groupe E,Pays-bas,1,0,Japon
2010,Groupe D,Ghana,1,1,Australie
2010,Groupe E,Cameroun,1,2,Danemark
2010,Groupe F,Slovaquie,0,2,Paraguay
2010,Groupe F,Italie,1,1,Nouvelle-zelande
2010,Groupe G,Bresil,3,1,CÔte D'ivoire
2010,Groupe G,Portugal,7,0,Coree Du Nord
2010,Groupe H,Chili,1,0,Suisse
2010,Groupe H,Espagne,2,0,Honduras
2010,Groupe A,Mexique,0,1,Uruguay
2010,Groupe A,France,1,2,Afrique Du Sud
2010,Groupe B,Nigeria,2,2,Coree Du Sud
2010,Groupe B,Grece,0,2,Argentine
2010,Groupe C,Slovenie,0,1,Angleterre
2010,Groupe C,Etats-unis,1,0,Algerie
2010,Groupe D,Ghana,0,1,Allemagne
2010,Groupe D,Australie,2,1,Serbie
2010,Groupe F,Slovaquie,3,2,Italie
2010,Groupe F,Paraguay,0,0,Nouvelle-zelande
2010,Groupe E,Danemark,1,3,Japon
2010,Groupe E,Cameroun,1,2,Pays-bas
2010,Groupe G,Portugal,0,0,Bresil
2010,Groupe G,Coree Du Nord,0,3,CÔte D'ivoire
2010,Groupe H,Chili,1,2,Espagne
2010,Groupe H,Suisse,0,0,Honduras
2010,8èmes de finale,Uruguay,2,1,Coree Du Sud
2010,8èmes de finale,Etats-unis,1,2 prol.,Ghana
2010,8èmes de finale,Allemagne,4,1,Angleterre
2010,8èmes de finale,Argentine,3,1,Mexique
2010,8èmes de finale,Pays-bas,2,1,Slovaquie
2010,8èmes de finale,Bresil,3,0,Chili
2010,8èmes de finale,Paraguay,0,0 5 tab 3,Japon
2010,8èmes de finale,Espagne,1,0,Portugal
2010,Quarts de finale,Pays-bas,2,1,Bresil
2010,Quarts de finale,Uruguay,1,1 4 tab 2,Ghana
2010,Quarts de finale,Argentine,0,4,Allemagne
2010,Quarts de finale,Paraguay,0,1,Espagne
2010,Demi-finales,Uruguay,2,3,Pays-bas
2010,Demi-finales,Allemagne,0,1,Espagne
2010,Match 3e place,Uruguay,2,3,Allemagne
2010,Finale,Pays-bas,0,1 prol.,Espagne
2014,Groupe A,Brésil,3,1,Croatie
2014,Groupe A,Mexique,1,0,Cameroun
2014,Groupe B,Espagne,1,5,Pays-Bas
2014,Groupe B,Chili,3,1,Australie
2014,Groupe C,Colombie,3,0,Grèce
2014,Groupe D,Uruguay,1,3,Costa Rica
2014,Groupe D,Angleterre,1,2,Italie
2014,Groupe C,Côte d'Ivoire,2,1,Japon
2014,Groupe E,Suisse,2,1,Equateur
2014,Groupe E,France,3,0,Honduras
2014,Groupe F,Argentine,2,1,Bosnie
2014,Groupe G,Allemagne,4,0,Portugal
2014,Groupe F,Iran,0,0,Nigeria
2014,Groupe G,Ghana,1,2,États-Unis
2014,Groupe H,Belgique,2,1,Algérie
2014,Groupe A,Brésil,0,0,Mexique
2014,Groupe H,Russie,1,1,Corée du Sud
2014,Groupe B,Australie,2,3,Pays-Bas
2014,Groupe B,Espagne,0,2,Chili
2014,Groupe A,Cameroun,0,4,Croatie
2014,Groupe C,Colombie,2,1,Côte d'Ivoire
2014,Groupe D,Uruguay,2,1,Angleterre
2014,Groupe C,Japon,0,0,Grèce
2014,Groupe D,Italie,0,1,Costa Rica
2014,Groupe E,Suisse,2,5,France
2014,Groupe E,Honduras,1,2,Equateur
2014,Groupe F,Argentine,1,0,Iran
2014,Groupe G,Allemagne,2,2,Ghana
2014,Groupe F,Nigeria,1,0,Bosnie
2014,Groupe H,Belgique,1,0,Russie
2014,Groupe H,Corée du Sud,2,4,Algérie
2014,Groupe G,États-Unis,2,2,Portugal
2014,Groupe B,Australie,0,3,Espagne
2014,Groupe B,Pays-Bas,2,0,Chili
2014,Groupe A,Cameroun,1,4,Brésil
2014,Groupe A,Croatie,1,3,Mexique
2014,Groupe D,Costa Rica,0,0,Angleterre
2014,Groupe D,Italie,0,1,Uruguay
2014,Groupe C,Japon,1,4,Colombie
2014,Groupe C,Grèce,2,1,Côte d'Ivoire
2014,Groupe F,Bosnie,3,1,Iran
2014,Groupe F,Nigeria,2,3,Argentine
2014,Groupe E,Honduras,0,3,Suisse
2014,Groupe E,Equateur,0,0,France
2014,Groupe G,États-Unis,0,1,Allemagne
2014,Groupe G,Portugal,2,1,Ghana
2014,Groupe H,Algérie,1,1,Russie
2014,Groupe H,Corée du Sud,0,1,Belgique
2014,8èmes de finale,Brésil,1,"1
3 tab 2",Chili
2014,8èmes de finale,Colombie,2,0,Uruguay
2014,8èmes de finale,Pays-Bas,2,1,Mexique
2014,8èmes de finale,Costa Rica,1,"1
5 tab 3",Grèce
2014,8èmes de finale,France,2,0,Nigeria
2014,8èmes de finale,Allemagne,2,"1
prol.",Algérie
2014,8èmes de finale,Argentine,1,"0
prol.",Suisse
2014,8èmes de finale,Belgique,2,"1
prol.",États-Unis
2014,Quarts de finale,France,0,1,Allemagne
2014,Quarts de finale,Brésil,2,1,Colombie
2014,Quarts de finale,Argentine,1,0,Belgique
2014,Quarts de finale,Pays-Bas,0,"0
4 tab 3",Costa Rica
2014,Demi-finales,Brésil,1,7,Allemagne
2014,Demi-finales,Pays-Bas,0,"0
2 tab 4",Argentine
2014,Match 3e place,Brésil,0,3,Pays-Bas
2014,Finale,Allemagne,1,0,Argentine
