annee,nom_joueur,nb_buts,nom_pays
2018,Harry Kane,6,Angleterre
2018,Romelu Lukaku,4,Belgique
2018,Antoine Griezmann,4,France
2018,Kylian Mbappé,4,France
2018,Cristiano Ronaldo,4,Portugal
2018,Denis Cherichev,4,Russie
2018,Eden Hazard,3,Belgique
2018,Yerry Mina,3,Colombie
2018,Mario Mandzukic,3,Croatie
2018,Ivan Perisic,3,Croatie
2018,Diego Costa,3,Espagne
2018,Artem Dziouba,3,Russie
2018,Edinson Cavani,3,Uruguay
2018,John Stones,2,Angleterre
2018,Sergio Agüero,2,Argentine
2018,Mile Jedinak,2,Australie
2018,Philippe Coutinho,2,Bresil
2018,Neymar,2,Bresil
2018,Heung-min Son,2,Coree du Sud
2018,Luka Modric,2,Croatie
2018,Mohamed Salah,2,Egypte
2018,Takashi Inui,2,Japon
2018,Ahmed Musa,2,Nigeria
2018,Andreas Granqvist,2,Suede
2018,Wahbi Khazri,2,Tunisie
2018,Luis Suarez,2,Uruguay
2018,Toni Kroos,1,Allemagne
2018,Marco Reus,1,Allemagne
2018,Dele Alli,1,Angleterre
2018,Jesse Lingard,1,Angleterre
2018,Harry Maguire,1,Angleterre
2018,Kieran Trippier,1,Angleterre
2018,Salem Mohammed Al-Dawsari,1,Arabie saoudite
2018,Salman Mohammed Al-Faraj,1,Arabie saoudite
2018,Angel Di Maria,1,Argentine
2018,Gabriel Mercado,1,Argentine
2018,Lionel Messi,1,Argentine
2018,Marcos Rojo,1,Argentine
2018,Michy Batshuayi,1,Belgique
2018,Nacer Chadli,1,Belgique
2018,Kevin De Bruyne,1,Belgique
2018,Marouane Fellaini,1,Belgique
2018,Adnan Januzaj,1,Belgique
2018,Dries Mertens,1,Belgique
2018,Thomas Meunier,1,Belgique
2018,Jan Vertonghen,1,Belgique
2018,Renato Augusto,1,Bresil
2018,Roberto Firmino,1,Bresil
2018,Paulinho,1,Bresil
2018,Thiago Silva,1,Bresil
2018,Juan Guillermo Cuadrado,1,Colombie
2018,Radamel Falcao,1,Colombie
2018,Juan Quintero,1,Colombie
2018,Young-gwon Kim,1,Coree du Sud
2018,Kendall Waston,1,Costa Rica
2018,Milan Badelj,1,Croatie
2018,Andrej Kramaric,1,Croatie
2018,Ivan Rakitic,1,Croatie
2018,Ante Rebic,1,Croatie
2018,Domagoj Vida,1,Croatie
2018,Christian Eriksen,1,Danemark
2018,Mathias Zanka Jörgensen,1,Danemark
2018,Yussuf Yurary Poulsen,1,Danemark
2018,Iago Aspas,1,Espagne
2018,Nacho Fernandez,1,Espagne
2018,Isco,1,Espagne
2018,Benjamin Pavard,1,France
2018,Paul Pogba,1,France
2018,Samuel Umtiti,1,France
2018,Raphaël Varane,1,France
2018,Karim AnsarifardIran,1,Iran
2018,Alfred Finnbogason,1,Islande
2018,Gylfi Thor Sigurdsson,1,Islande
2018,Genki Haraguchi,1,Japon
2018,Keisuke Honda,1,Japon
2018,Shinji Kagawa,1,Japon
2018,Yuya Osako,1,Japon
2018,Khalid Boutaïb,1,Maroc
2018,Youssef En-Nesyri,1,Maroc
2018,Javier Hernandez,1,Mexique
2018,Hirving Lozano,1,Mexique
2018,Carlos Vela,1,Mexique
2018,Victor Moses,1,Nigeria
2018,Felipe Baloy,1,Panama
2018,Jan Bednarek,1,Pologne
2018,Grzegorz Krychowiak,1,Pologne
2018,Pepe,1,Portugal
2018,Ricardo Quaresma,1,Portugal
2018,André Carrillo,1,Perou
2018,Paolo Guerrero,1,Perou
2018,Mario Fernandes,1,Russie
2018,Youri Gazinski,1,Russie
2018,Alexandre Golovine,1,Russie
2018,Aleksandar Kolarov,1,Serbie
2018,Aleksandar Mitrovic,1,Serbie
2018,Josip Drmic,1,Suisse
2018,Blerim Dzemaili,1,Suisse
2018,Xherdan Shaqiri,1,Suisse
2018,Granit Xhaka,1,Suisse
2018,Steven Zuber,1,Suisse
2018,Ludwig Augustinsson,1,Suede
2018,Emil Forsberg,1,Suede
2018,Ola Toivonen,1,Suede
2018,Sadio Mané,1,Senegal
2018,M'Baye Niang,1,Senegal
2018,Moussa Wagué,1,Senegal
2018,Fakhreddine Ben Youssef,1,Tunisie
2018,Dylan Bronn,1,Tunisie
2018,Ferjani Sassi,1,Tunisie
2018,Jose Gimenez,1,Uruguay
2014,Rodriguez James,6,Colombie
2014,Muller Thomas,5,Allemagne
2014,Messi Lionel,4,Argentine
2014,Neymar ,4,Bresil
2014,Van Persie Robin,4,Pays Bas
2014,Schurrle Andre,3,Allemagne
2014,Valencia Enner,3,Equateur
2014,Benzema Karim,3,France
2014,Robben Arjen,3,Pays Bas
2014,Shaqiri Xherdan,3,Suisse
2014,Djabou Abdelmoumene,2,Algerie
2014,Slimani Islam,2,Algerie
2014,Götze Mario,2,Allemagne
2014,Hummels Mats,2,Allemagne
2014,Klose Miroslav,2,Allemagne
2014,Kroos Toni,2,Allemagne
2014,Cahill Tim,2,Australie
