id_pays_1,score_1,score_2,id_pays_2,date_rencontre
67,5,0,7,14/06/2018
63,3,3,32,15/06/2018
52,0,1,43,15/06/2018
29,0,1,83,15/06/2018
34,2,1,9,16/06/2018
61,0,1,27,16/06/2018
8,1,1,46,16/06/2018
25,2,0,54,16/06/2018
3,0,1,53,17/06/2018
23,0,1,70,17/06/2018
14,1,1,75,17/06/2018
79,1,2,5,18/06/2018
74,1,0,22,18/06/2018
11,3,0,57,18/06/2018
67,3,1,29,19/06/2018
20,1,2,50,19/06/2018
62,1,2,69,19/06/2018
83,1,0,7,20/06/2018
43,0,1,32,20/06/2018
63,1,0,52,20/06/2018
27,1,1,9,21/06/2018
8,0,3,25,21/06/2018
34,1,0,61,21/06/2018
14,2,0,23,22/06/2018
54,2,0,46,22/06/2018
70,1,2,75,22/06/2018
22,1,2,53,23/06/2018
3,2,1,74,23/06/2018
11,5,2,79,23/06/2018
62,0,3,20,24/06/2018
5,6,1,57,24/06/2018
50,2,2,69,24/06/2018
7,2,1,29,25/06/2018
32,2,2,52,25/06/2018
43,1,1,63,25/06/2018
83,3,0,67,25/06/2018
54,1,2,8,26/06/2018
46,1,2,25,26/06/2018
27,0,0,34,26/06/2018
9,0,2,61,26/06/2018
22,2,0,3,27/06/2018
70,0,2,14,27/06/2018
75,2,2,23,27/06/2018
53,0,3,74,27/06/2018
5,0,1,11,28/06/2018
69,0,1,20,28/06/2018
50,0,1,62,28/06/2018
57,1,2,79,28/06/2018
34,4,3,8,30/06/2018
83,2,1,63,30/06/2018
25,1,1,27,01/07/2018
32,1,1,67,01/07/2018
11,3,2,50,02/07/2018
14,2,0,53,02/07/2018
20,1,1,5,03/07/2018
74,1,0,75,03/07/2018
14,1,2,11,06/07/2018
83,0,2,34,06/07/2018
74,0,2,5,07/07/2018
67,2,2,25,07/07/2018
34,1,0,11,10/07/2018
25,2,1,5,11/07/2018
11,2,0,5,14/07/2018
34,4,2,25,15/07/2018
